################################################################################################################################
Constituency code, 		34
Constituency, 			Afzalpur
----------------------------------------------------
SADASHIV KEDARI BUTALI                          Janata Dal  (Secular)                                   15204     
SANGANAGOUD GURUPADAGOUD PATIL                  Karnataka Jantha Paksha                                 1580      
ANNAPPA SOMANNA AIGALI                          Bahujan Samaj Party                                     1558      
RATNAVVA VITTAL TATRI URF PUJARI                Independent                                             841       
SHIKHANDHAR HAJISAB MULLA                       Badavara Shramikara Raitara Congress Party              750       
VASANT YAMANAPPA DALAWAI                        Lok Satta Party                                         581       
BASAVARAJ IRAPPA AWATI                          Independent                                             507       
GURUNATH BALU BHORI                             Nationalist Congress Party                              442       
################################################################################################################################
Constituency code, 		52
Constituency, 			Aurad
----------------------------------------------------
Candiate                                        Party                                                   Votes     
PRABHU B. CHAVAN                                Bharatiya Janata Party                                  61826     
DHANAJI BHEEMA JADHAV                           Karnataka Jantha Paksha                                 38635     
GAIKAWAD VIJAYKUMAR                             Indian National Congress                                15456     
G.M. YATNOOR                                    Janata Dal  (Secular)                                   4892      
ROOPCHAND RATHOD                                Nationalist Congress Party                              1225      
DEVIDAS                                         Bahujan Samaj Party                                     1151      
SULOCHANA                                       Independent                                             1098      
RAJU KADYAL                                     Karnataka Makkala Paksha                                1065      
KASTURBAI                                       Independent                                             904       
SHAMANNA BAVGI                                  Independent                                             814       
JAIRAJ CHATURE                                  Independent                                             686       
RATANSING                                       Independent                                             461       
SHIVKUMAR BELDAL                                Badavara Shramikara Raitara Congress Party              451       
DR. SHANKARRAO SONALWADI                        Independent                                             437       
################################################################################################################################
Constituency code, 		172
Constituency, 			B.t.m layout
----------------------------------------------------
Candiate                                        Party                                                   Votes     
RAMALINGAREDDY                                  Indian National Congress                                69712     
N. SUDHAKAR                                     Bharatiya Janata Party                                  20664     
J. RAMESH REDDY                                 Janata Dal  (Secular)                                   8346      
RAVI KRISHNA REDDY                              Lok Satta Party                                         6596      
SRINIVASA                                       Karnataka Jantha Paksha                                 1902      
R. RAVINDRAKUMAR                                Independent                                             1324      
HARIRAM .A                                      Bahujan Samaj Party                                     1311      
MOHAMMED SADIQ                                  Independent                                             322       
THYAGARAJ                                       Bharatiya Dr. B.R.Ambedkar Janta Party                  309       
################################################################################################################################
Constituency code, 		29
Constituency, 			Babaleshwar
----------------------------------------------------
Candiate                                        Party                                                   Votes     
M.B.PATIL                                       Indian National Congress                                62061     
PATIL  VIJUGOUDA                                Janata Dal  (Secular)                                   57706     
M.S.RUDRAGOUDARA                                Bharatiya Janata Party                                  4067      
BASAPPA. S. HONAWAD                             Karnataka Jantha Paksha                                 2646      
SHASAPPA BHIMARAY HANCHANAL                     Independent                                             2215      
KAMANNA GANGANALLI                              Bahujan Samaj Party                                     1042      
SADASHIVAPPA YAMANAPPA HADIMANI                 Independent                                             924       
SANGAPPA GURAPPA INDI                           Independent                                             751       
USMAN BASHA MOULAKASAHEB KURI                   Independent                                             533       
MEHABOOB. H. MALABHODI                          Independent                                             532       
ARUNAKUMAR. H. JAINAPUR                         Independent                                             432       
SHAKIL  MANIYAR                                 Badavara Shramikara Raitara Congress Party              342       
GOUSAPEERA ABBASALI JAMADAR                     Independent                                             308       
SATTIGER BASAYYA MALLAYYA                       Janata Dal  (United)                                    297       
AKKI HUGGI PADMANNA HUCHAPPA                    Independent                                             290       
GUDADAPPA SHIVAPPA JALAMATTI                    Independent                                             202       
################################################################################################################################
Constituency code, 		23
Constituency, 			Badami
----------------------------------------------------
Candiate                                        Party                                                   Votes     
